"SN","Source","Region","Country","Country_ID","ISO2","ISO3","ADMIN1_NAME","ADMIN1_CODE","ADMIN2_NAME","ADMIN2_CODE","IU_NAME","IU_ID","LocationName","Longitude","Latitude","LocationType","Georeliability","Year_MDA1","N_MDA","Baseline_Prev","SurveyYear","Period","SurveyMonth","Passage","Method_0","Method_1","Method_2","Age_start","Age_end","Examined","Positive","Prevalence","CMFL","Vector_spp","Perc_PoolPositive","SourceOrigen","Funding","Composite_IU_ID"
"16347","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA EAST","21539","Kassena Nankana East","21539","NAGA","-1.0286105000000001","10.598657599999999","Village","1",null,null,null,"1983","Before 2001","March","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"110.0","54.0","0.49090909100000002",null,"",null,"APOC","APOC Trust Fund","AGHA0216721539"
"16348","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA EAST","21539","Kassena Nankana East","21539","NAGA","-1.0286105000000001","10.598657599999999","Village","1",null,null,null,"1986","Before 2001","February","4","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"91.0","22.0","0.24175824200000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216721539"
"16349","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA EAST","21539","Kassena Nankana East","21539","NAGA","-1.0286105000000001","10.598657599999999","Village","1",null,null,null,"1989","Before 2001","January","5","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"102.0","1.0","9.8039219999999996E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216721539"
"16350","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA EAST","21539","Kassena Nankana East","21539","NAGA","-1.0286105000000001","10.598657599999999","Village","1",null,null,null,"1993","Before 2001","November","6","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"174.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216721539"
"16351","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA EAST","21539","Kassena Nankana East","21539","NAGA","-1.0286105000000001","10.598657599999999","Village","1",null,null,null,"1997","Before 2001","September","7","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"81.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216721539"
"16352","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","NKWANTA NORTH","21574","Nkwanta North","21574","Nagingon","0.35810999999999998","8.6682400000000008","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"148.0","4.0","2.7027026999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216921574"
"16353","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","TOLON","21525","Tolon","21525","NAHA","-0.95804900000000004","9.3791434999999996","Village","1",null,null,null,"1997","Before 2001","September","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"375.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216621525"
"16354","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","CHEREPONI","21506","Chereponi","21506","Nakaku","0.34549000000000002","10.02826","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"178.0","1.0","0.005617978",null,"",null,"APOC","APOC Trust Fund","AGHA0216621506"
"16355","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","CHEREPONI","21506","Chereponi","21506","NAKAKU","0.34549000000000002","10.02826","Village","1",null,null,null,"1990","Before 2001","October","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"298.0","10.0","0.033557047",null,"",null,"APOC","APOC Trust Fund","AGHA0216621506"
"16356","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","CHEREPONI","21506","Chereponi","21506","NAKAKU","0.34549000000000002","10.02826","Village","1",null,null,null,"1992","Before 2001","January","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"226.0","8.0","3.5398230000000003E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621506"
"16357","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","CHEREPONI","21506","Chereponi","21506","NAKAKU","0.34549000000000002","10.02826","Village","1",null,null,null,"1999","Before 2001","November","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"116.0","7.0","6.0344828000000003E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621506"
"16358","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","CHEREPONI","21506","Chereponi","21506","NAKAKU","0.34549000000000002","10.02826","Village","1",null,null,null,"2007","2006 - 2010","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"178.0","1.0","0.005617978",null,"",null,"APOC","APOC Trust Fund","AGHA0216621506"
"16359","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","NAKARI","0.40999999999999998","7.75","Village","1",null,null,null,"1989","Before 2001","December","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"56.0","44.0","0.78571428600000004",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"16360","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","KRACHI EAST","21571","Krachi East","21571","NAKARI","0.40999999999999998","7.75","Village","1",null,null,null,"2001","2001 - 2005","April","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"21.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216921571"
"16361","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","Nakong","-1.4273400000000001","10.81025","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"60.0","1.0","0.016666667",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16362","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","NAKONG","-1.4273400000000001","10.81025","Village","1",null,null,null,"1976","Before 2001","January","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"110.0","78.0","0.70909090900000005",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16363","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","NAKONG","-1.4273400000000001","10.81025","Village","1",null,null,null,"1978","Before 2001","December","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"99.0","73.0","0.73737373699999997",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16364","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","NAKONG","-1.4273400000000001","10.81025","Village","1",null,null,null,"1983","Before 2001","November","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"119.0","76.0","0.63865546200000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16365","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","NAKONG","-1.4273400000000001","10.81025","Village","1",null,null,null,"1986","Before 2001","February","4","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"134.0","71.0","0.52985074600000004",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16366","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","NAKONG","-1.4273400000000001","10.81025","Village","1",null,null,null,"1987","Before 2001","September","5","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"139.0","43.0","0.30935251800000002",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16367","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","NAKONG","-1.4273400000000001","10.81025","Village","1",null,null,null,"1989","Before 2001","May","6","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"133.0","36.0","0.270676692",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16368","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","NAKONG","-1.4273400000000001","10.81025","Village","1",null,null,null,"1992","Before 2001","January","7","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"166.0","28.0","0.16867469900000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16369","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","NAKONG","-1.4273400000000001","10.81025","Village","1",null,null,null,"1999","Before 2001","October","8","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"163.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16370","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","NAKONG","-1.4273400000000001","10.81025","Village","1",null,null,null,"2007","2006 - 2010","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"60.0","1.0","0.016666667",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16371","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","NAKONG","-1.4273400000000001","10.81025","Village","1",null,null,null,"2010","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"94.0","5.0","5.3191489000000002E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16372","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","NAKONG-SABORO","-1.3999999999999999","10.83","Village","1",null,null,null,"1976","Before 2001","January","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"144.0","112.0","0.77777777800000003",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16373","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","SABOBA","21518","Saboba","21518","NAKPALEY","0.34999999999999998","9.5800000000000001","Village","1",null,null,null,"1993","Before 2001","March","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"184.0","2.0","1.0869564999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621518"
"16374","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BUNKPURUGU YUNYOO","21504","Bunkpurugu-Yunyoo","21504","Nakpanduri","-0.180118","10.632198000000001","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"283.0","1.0","3.5335689999999999E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216621504"
"16375","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BUNKPURUGU YUNYOO","21504","Bunkpurugu-Yunyoo","21504","NAKPANDURI","-0.180118","10.632198000000001","Village","1",null,null,null,"1989","Before 2001","January","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"255.0","8.0","0.031372549",null,"",null,"APOC","APOC Trust Fund","AGHA0216621504"
"16376","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BUNKPURUGU YUNYOO","21504","Bunkpurugu-Yunyoo","21504","NAKPANDURI","-0.180118","10.632198000000001","Village","1",null,null,null,"1999","Before 2001","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"186.0","1.0","5.3763439999999999E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216621504"
"16377","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BUNKPURUGU YUNYOO","21504","Bunkpurugu-Yunyoo","21504","NAKPANDURI","-0.180118","10.632198000000001","Village","1",null,null,null,"2002","2001 - 2005","December","3","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"193.0","3.0","0.015544041",null,"",null,"APOC","APOC Trust Fund","AGHA0216621504"
"16378","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","SABOBA","21518","Saboba","21518","NAKRUN","0.13","9.6099999999999994","Village","1",null,null,null,"1993","Before 2001","March","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"116.0","13.0","0.11206896600000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216621518"
"16379","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","WA EAST","21552","Wa East","21552","NAMON (KULPAWN)","-2.0","9.9100000000000001","Village","1",null,null,null,"1996","Before 2001","May","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"240.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216821552"
"16380","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","KASSENA NANKANA WEST","21540","Kassena Nankana West","21540","NANGAWO","-1.1299999999999999","10.960000000000001","Village","1",null,null,null,"1990","Before 2001","October","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"441.0","4.0","9.0702950000000008E-3",null,"",null,"APOC","APOC Trust Fund","AGHA0216721540"
"16381","AFRO","Western Africa","Ghana","20","GH","GHA","VOLTA","2169","NKWANTA NORTH","21574","Nkwanta North","21574","Napalbe","0.30779000000000001","8.6699199999999994","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"158.0","3.0","1.8987342000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216921574"
"16382","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER WEST","2168","NANDOM","21549","Nandom","21549","NAPALI","-2.8066499999999999","10.86679","Village","1",null,null,null,"1996","Before 2001","November","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"287.0","12.0","4.1811846999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216821549"
"16383","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","MAMPRUGO MOADURI","21513","Mamprugu Moagduri","21513","NARIBU","-1.28","10.279999999999999","Village","1",null,null,null,"2001","2001 - 2005","April","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"235.0","13.0","5.5319148999999998E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621513"
"16384","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","GUSHIEGU","21509","Gushiegu","21509","Nawuni","-0.18863949999999999","9.8760473999999991","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"81.0","3.0","3.7037037000000002E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621509"
"16385","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","GUSHIEGU","21509","Gushiegu","21509","NAWUNI","-0.18863949999999999","9.8760473999999991","Village","1",null,null,null,"1999","Before 2001","November","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"205.0","20.0","9.7560975999999994E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621509"
"16386","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","GUSHIEGU","21509","Gushiegu","21509","NAWUNI","-0.18863949999999999","9.8760473999999991","Village","1",null,null,null,"2002","2001 - 2005","December","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"138.0","14.0","0.10144927500000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216621509"
"16387","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","EAST MAMPRUSI","21508","East Mamprusi","21508","NEW-BUKPERI","-0.34999999999999998","10.56","Village","1",null,null,null,"1991","Before 2001","March","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"25.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216621508"
"16388","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","EAST MAMPRUSI","21508","East Mamprusi","21508","NEW-BUKPERI","-0.34999999999999998","10.56","Village","1",null,null,null,"1991","Before 2001","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"23.0","1.0","4.3478260999999997E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621508"
"16389","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","KINTAMPO SOUTH","21422","Kintampo South","21422","New Longoro","-2.0302851","8.1427151999999996","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"50.0","4.0","8.0000000000000002E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216221422"
"16390","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","TANO NORTH","21432","Tano North","21432","NGAKAIN","-2.21","7.2300000000000004","Village","1",null,null,null,"2001","2001 - 2005","May","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"168.0","73.0","0.43452381000000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216221432"
"16391","AFRO","Western Africa","Ghana","20","GH","GHA","WESTERN","2170","SUAMAN","21598","Suaman","21598","Ngakan","-2.68085","5.7698400000000003","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"109.0","24.0","0.22018348600000001",null,"",null,"APOC","APOC Trust Fund","AGHA0217021598"
"16392","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","YENDI","21528","Yendi","21528","NGALAGODO","8.0000000000000002E-2","9.5099999999999998","Village","1",null,null,null,"1993","Before 2001","February","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"69.0","10.0","0.144927536",null,"",null,"APOC","APOC Trust Fund","AGHA0216621528"
"16393","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","WENCHI","21436","Wenchi","21436","Nipa ne Kuro","-2.1193667","8.1031166999999993","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"52.0","16.0","0.30769230800000003",null,"",null,"APOC","APOC Trust Fund","AGHA0216221436"
"16394","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ASANTE AKIM SOUTH","21387","Asante Akim South","21387","Nkyesa","-1.0425556","6.4049443999999998","Village","1",null,null,null,"2006","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"246.0","34.0","0.13821138199999999",null,"",null,"APOC","APOC Trust Fund","AGHA0216121387"
"16395","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ASANTE AKIM SOUTH","21387","Asante Akim South","21387","Nkyesa","-1.0421899999999999","6.4051999999999998","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"101.0","11.0","0.108910891",null,"",null,"APOC","APOC Trust Fund","AGHA0216121387"
"16396","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","SUNYANI EAST","21429","Sunyani","21429","NSAGOBESA","-2.3500000000000001","7.2000000000000002","Village","1",null,null,null,"1980","Before 2001","January","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"39.0","3.0","7.6923077000000006E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216221429"
"16397","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","Nsunoa","-2.64954","9.0060400000000005","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"56.0","1.0","1.7857142999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"16398","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","NSUNOA","-2.6499999999999999","9.0","Village","1",null,null,null,"1990","Before 2001","February","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"160.0","18.0","0.1125",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"16399","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","NSUNOA","-2.6499999999999999","9.0","Village","1",null,null,null,"2001","2001 - 2005","March","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"154.0","11.0","7.1428570999999996E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"16400","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","Nsunua","-2.6500599999999999","9.0056700000000003","Village","1",null,null,null,"2013","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"52.0","3.0","5.7692307999999998E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"16401","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ATWIMA MPONUA","21391","Atwima Mponua","21391","Nsuontem","-2.3729086000000001","6.4832571000000003","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"92.0","3.0","0.032608696",null,"",null,"APOC","APOC Trust Fund","AGHA0216121391"
"16402","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","TANO SOUTH","21433","Tano South","21433","NSUTA-DERMA","-1.8700000000000001","7.2599999999999998","Village","1",null,null,null,"1995","Before 2001","September","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"213.0","7.0","0.03286385",null,"",null,"APOC","APOC Trust Fund","AGHA0216221433"
"16403","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","TANO SOUTH","21433","Tano South","21433","NSUTA-DERMA","-1.8700000000000001","7.2599999999999998","Village","1",null,null,null,"2004","2001 - 2005","September","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"75.0","5.0","6.6666666999999999E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216221433"
"16404","AFRO","Western Africa","Ghana","20","GH","GHA","BRONG AHAFO","2162","TANO SOUTH","21433","Tano South","21433","NSUTA DERMA","-1.8700000000000001","7.2599999999999998","Village","1",null,null,null,"2007","2006 - 2010","October","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"46.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216221433"
"16405","AFRO","Western Africa","Ghana","20","GH","GHA","",null,"",null,"",null,"Ntaabanu",null,null,"Village","99",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"194.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA   NA   NA"
"16406","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ATWIMA NWABIAGYA","21392","Atwima Nwabiagya","21392","Ntabanu","-1.8999999999999999","6.75","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"170.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216121392"
"16407","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","Ntereso","-2.5778300000000001","8.7870500000000007","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"79.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"16408","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","Ntereso","-2.5780500000000002","8.78688","Village","1",null,null,null,"2013","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"56.0","17.0","0.303571429",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"16409","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","NTERESSO","-2.5800000000000001","8.8599999999999994","Village","1",null,null,null,"1990","Before 2001","February","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"56.0","9.0","0.16071428600000001",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"16410","AFRO","Western Africa","Ghana","20","GH","GHA","NORTHERN","2166","BOLE","21503","Bole","21503","NTERESSO","-2.5800000000000001","8.8599999999999994","Village","1",null,null,null,"1993","Before 2001","January","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"58.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216621503"
"16411","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ATWIMA MPONUA","21391","Atwima Mponua","21391","Ntoboroso","-2.0327666999999998","6.5974667","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"456.0","5.0","0.010964912",null,"",null,"APOC","APOC Trust Fund","AGHA0216121391"
"16412","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ATWIMA MPONUA","21391","Atwima Mponua","21391","Ntobroso","-2.0451876000000002","6.5335802000000003","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"106.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216121391"
"16413","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ATWIMA MPONUA","21391","Atwima Mponua","21391","NTOBROSO","-2.0451876000000002","6.5335802000000003","Village","1",null,null,null,"2007","2006 - 2010","November","2","Impact Assessment","Parasitological","Parasitology (Skin biopsy)",null,null,"444.0","5.0","0.011261261",null,"",null,"APOC","APOC Trust Fund","AGHA0216121391"
"16414","AFRO","Western Africa","Ghana","20","GH","GHA","CENTRAL","2163","TWIFO-ATI MOKWA","21455","Twifo/Stti-Morkwa","21455","Nuamakrom","-1.4630312000000001","5.6367422999999999","Village","1",null,null,null,"2013","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"93.0","1.0","0.010752688",null,"",null,"APOC","APOC Trust Fund","AGHA0216321455"
"16415","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","ASANTE AKIM SOUTH","21387","Asante Akim South","21387","Nya-Akoma","-1.0525100000000001","6.4228100000000001","Village","1",null,null,null,"2012","2011 - 2016","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"96.0","7.0","7.2916667000000004E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216121387"
"16416","AFRO","Western Africa","Ghana","20","GH","GHA","UPPER EAST","2167","BUILSA NORTH","21536","Builsa North","21536","NYAMBISA","-1.45","10.73333","Village","1",null,null,null,"2001","2001 - 2005","April","1","Mapping","Parasitological","Parasitology (Skin biopsy)",null,null,"79.0","0.0","0.0",null,"",null,"APOC","APOC Trust Fund","AGHA0216721536"
"16417","AFRO","Western Africa","Ghana","20","GH","GHA","ASHANTI","2161","AHAFO ANO SOUTH","21383","Ahafo-Ano South","21383","Nyamebekyere","-1.9935278999999999","7.0128136999999997","Village","1",null,null,null,"2007","2006 - 2010","",null,"","Parasitological","Parasitology (Skin biopsy)",null,null,"122.0","3.0","2.4590164000000001E-2",null,"",null,"APOC","APOC Trust Fund","AGHA0216121383"
